snapshot_ts_ms,snapshot_date_utc,ws_url,dir,opCode,data_base64,decoded_hint
snapshot_ts_ms,snapshot_date_utc,ws_url,dir,opCode,data_base64,decoded_hint
1763523277904,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI3Nzg0NQ==,
1763523278767,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI3ODc2Ng==,
1763523278767,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI3ODc2Ng==,
1763523278825,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI3ODc2Ng==,
1763523278831,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI3ODc2Ng==,
1763523278846,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI3ODg0NQ==,
1763523278901,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI3ODg0NQ==,
1763523279756,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI3OTc1NQ==,
1763523279764,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI3OTc2Mw==,
1763523279819,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI3OTc2Mw==,
1763523279819,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI3OTc1NQ==,
1763523280115,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MDExNQ==,
1763523280166,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MDExNQ==,
1763523280762,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MDc2MQ==,
1763523280791,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MDc5MQ==,
1763523280835,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MDc2MQ==,
1763523280839,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MDgzOQ==,
1763523280844,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MDc5MQ==,
1763523280900,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MDgzOQ==,
1763523281759,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MTc1OA==,
1763523281759,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MTc1OA==,
1763523281815,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MTc1OA==,
1763523281816,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MTc1OA==,
1763523281836,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4MTgzNQ==,
1763523281888,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,received,10,MTc2MzUyMzI4MTgzNQ==,
1763523282768,2025-11-19,wss://api-streaming.robinhood.com/wss/connect?topic=equity_order_update&topic=option_order_update&topic=crypto_order_update&topic=futures_order_update,sent,9,MTc2MzUyMzI4Mjc2Nw==,
